Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,2,1,0.3516205999767408,60.66142390004825
2,2,1,0.25074940000195056,45.73955040005967
3,2,1,0.16802219999954104,60.37972769991029
4,2,1,0.2614789000945166,46.37287129997276
5,2,1,0.18965499999467283,60.91471439995803
6,2,1,0.2633944000117481,46.07078249996994
7,2,1,0.1798651999561116,60.8053588999901
8,2,1,0.228179799974896,46.5857035999652
9,2,1,0.17763619998004287,60.814830300048925
10,2,1,0.25765609997324646,47.18292619998101
