Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.3665028000004895,120.91765940000005
2,3,0,0.3832666000007521,74.82123559999945
3,3,0,0.42257710000012594,127.86397699999998
4,3,0,0.14172179999968648,118.70794659999956
5,3,0,0.13670149999961723,58.879075900000316
6,3,0,0.15240489999996498,72.08934899999986
7,3,0,0.14406850000068516,43.47779609999998
8,3,0,0.1313000000000102,33.75814200000059
9,3,0,0.1292700000003606,32.160614700000224
10,3,0,0.12947619999977178,33.11769389999972
