Round,Client,UpdateScore,TrainingScore,HistoricalScore,ReliabilityScore,TrustScore,Tag
1,Hospital_A,75.0,65.0,75.0,100.0,72.0,SUSPICIOUS
1,Hospital_B,75.0,75.0,75.0,100.0,75.0,SUSPICIOUS
1,Hospital_C,75.0,85.0,75.0,100.0,78.0,SUSPICIOUS
2,Hospital_A,75.0,95.0,74.1,100.0,83.3,TRUSTED
2,Hospital_B,75.0,75.0,75.0,100.0,77.5,SUSPICIOUS
2,Hospital_C,75.0,95.0,75.9,100.0,83.7,TRUSTED
3,Hospital_A,75.0,95.0,76.9,100.0,83.9,TRUSTED
3,Hospital_B,75.0,75.0,75.8,100.0,77.7,SUSPICIOUS
3,Hospital_C,75.0,85.0,78.2,100.0,81.1,TRUSTED
4,Hospital_A,90.0,75.0,79.0,100.0,84.3,TRUSTED
4,Hospital_B,90.0,85.0,76.3,100.0,86.8,TRUSTED
4,Hospital_C,90.0,90.0,79.1,100.0,88.8,TRUSTED
5,Hospital_A,90.0,85.0,80.6,100.0,87.6,TRUSTED
5,Hospital_B,90.0,90.0,79.5,100.0,88.9,TRUSTED
5,Hospital_C,90.0,75.0,82.0,100.0,84.9,TRUSTED
6,Hospital_A,90.0,95.0,82.7,100.0,91.0,TRUSTED
6,Hospital_B,90.0,90.0,82.3,100.0,89.5,TRUSTED
6,Hospital_C,90.0,75.0,82.9,100.0,85.1,TRUSTED
7,Hospital_A,90.0,85.0,85.2,100.0,88.5,TRUSTED
7,Hospital_B,90.0,75.0,84.4,100.0,85.4,TRUSTED
7,Hospital_C,90.0,90.0,83.5,100.0,89.7,TRUSTED
8,Hospital_A,90.0,85.0,86.2,100.0,88.7,TRUSTED
8,Hospital_B,90.0,90.0,84.7,100.0,89.9,TRUSTED
8,Hospital_C,90.0,75.0,85.4,100.0,85.6,TRUSTED
9,Hospital_A,90.0,85.0,87.0,100.0,88.9,TRUSTED
9,Hospital_B,90.0,75.0,86.3,100.0,85.8,TRUSTED
9,Hospital_C,90.0,85.0,85.4,100.0,88.6,TRUSTED
10,Hospital_A,90.0,75.0,87.5,100.0,86.0,TRUSTED
10,Hospital_B,90.0,85.0,86.1,100.0,88.7,TRUSTED
10,Hospital_C,90.0,90.0,86.4,100.0,90.3,TRUSTED
