Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.3076844999995956,101.7153656999999
2,3,0,0.8262631999987207,74.2884694000004
3,3,0,1.342080200000055,124.91101200000048
4,3,0,0.30883080000057817,101.45045089999985
5,3,0,1.0905966999998782,71.8842980999998
6,3,0,0.2680368000001181,42.6266598000002
7,3,0,0.2910415999995166,51.77624950000063
8,3,0,1.1174872999999934,43.56064999999944
9,3,0,0.3995061999994505,141.99670450000121
10,3,0,0.861721100000068,138.35874760000115
