Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.12551240000175312,110.66640849999385
2,3,0,0.12097210000501946,55.7088281000033
3,3,0,0.12226669999654405,55.54439390001062
4,3,0,0.12625539999862667,55.33613850000256
5,3,0,0.1211749000067357,55.760331500001485
6,3,0,0.13536569999996573,58.67954350000946
7,3,0,0.16020749999734107,70.20943129999796
8,3,0,0.12824130000080913,63.98199059999024
9,3,0,0.13045250000141095,54.24494709999999
10,3,0,0.12771739999880083,53.53336429999035
