Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,3,0,0.30873370000335854,51.9909023999935
2,3,0,0.24628540000412613,24.24460450001061
3,3,0,0.26724929999909364,24.227640099998098
4,3,0,0.23783610000100452,24.199047800007975
5,3,0,0.25729819999833126,24.634595600000466
6,3,0,0.2374405000009574,24.297642300007283
7,3,0,0.2404357999912463,24.483883300010348
8,3,0,0.23064169999270234,24.47033989999909
9,3,0,0.2383203999925172,24.772828599991044
10,3,0,0.25950400000147056,25.923137100005988
