Round,Successful_Clients,Failed_Clients,Aggregation_Time_sec,Total_Round_Time_sec
1,2,1,0.27187910000793636,61.287759999977425
2,3,0,0.3934776000678539,56.65417080000043
3,3,0,0.25335210002958775,56.964708899962716
4,3,0,0.2987250000005588,58.14224290009588
5,3,0,0.29793800006154925,57.41328119998798
6,3,0,0.2894281001063064,57.04459389997646
7,3,0,0.2812705000396818,57.81479410000611
8,3,0,0.2813423000043258,59.931214999989606
9,3,0,0.287217199918814,58.44397799996659
10,3,0,0.27077079995069653,56.879134799935855
