client,round,record_type,epoch_time_sec,training_time_sec,payload_size_bytes,payload_size_mb,quantized_payload_size_bytes,quantized_payload_size_mb,compression_ratio,payload_reduction_percent,accuracy,loss,device,epsilon,delta,dp_noise_multiplier,dp_max_grad_norm,evaluation_time_sec
Hospital_A,1,training,55.71908049995545,95.23303800006397,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,1,training,39.513879299978726,95.23303800006397,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,1,evaluation,,,,,,,,,0.592,0.6607745885848999,cpu,,,,,13.744631899986416
Hospital_A,2,training,47.28074229997583,82.52265089994762,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,2,training,35.24175889999606,82.52265089994762,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,2,evaluation,,,,,,,,,0.872,0.27933694794774055,cpu,,,,,13.500870399991982
Hospital_A,3,training,46.56427800003439,81.53306039993186,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,3,training,34.96871090005152,81.53306039993186,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,3,evaluation,,,,,,,,,0.92,0.1927413884550333,cpu,,,,,13.68116140004713
Hospital_A,4,training,47.05899279995356,81.6201903000474,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,4,training,34.561097999918275,81.6201903000474,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,5,training,47.576977899996564,83.74080399994273,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,5,training,36.163712800014764,83.74080399994273,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,6,training,47.36510699999053,82.638854800025,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,6,training,35.27365829993505,82.638854800025,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,6,evaluation,,,,,,,,,0.968,0.11262933316174895,cpu,,,,,14.605267200036906
Hospital_A,7,training,47.54945269995369,83.28334679990076,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,7,training,35.73380950000137,83.28334679990076,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,7,evaluation,,,,,,,,,0.976,0.11085578403435647,cpu,,,,,14.48749579989817
Hospital_A,8,training,48.227020199992694,85.24846769997384,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,8,training,37.02133799996227,85.24846769997384,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,9,training,61.220297800027765,99.90173879999202,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,9,training,38.6813457000535,99.90173879999202,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,9,evaluation,,,,,,,,,0.952,0.17218185146339238,cpu,,,,,13.65757839998696
Hospital_A,10,training,48.160730900010094,85.05361509998329,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,10,training,36.89278540003579,85.05361509998329,33631240,32.07324981689453,8407906,8.018404006958008,3.999954328699679,74.99971455111378,,,cpu,,,,,
Hospital_A,10,evaluation,,,,,,,,,0.964,0.12681911466643214,cpu,,,,,13.665799000067636
